timestamp,open,high,low,close,volume
2021-06-10,389.6400,389.6400,372.3450,373.9400,3900798
2021-06-09,383.1600,384.2700,378.8800,382.7800,2026166
2021-06-08,385.7900,386.4799,382.2200,384.7000,2452596
2021-06-07,393.0000,393.2603,387.5500,388.1600,2188724
2021-06-04,389.6800,392.0500,386.3200,391.4500,2514077
2021-06-03,382.2500,391.2500,380.1349,388.7200,3003860
2021-06-02,383.3300,384.6650,379.3700,383.4400,2809704
2021-06-01,377.7000,383.3600,376.3100,382.4400,3644004
2021-05-28,372.0000,373.0700,368.2600,372.0200,2170561
2021-05-27,371.3300,373.5487,367.3000,371.3700,3897048
2021-05-26,365.0000,368.7900,361.9100,367.4000,2121254
2021-05-25,369.9120,373.7696,364.0900,364.5100,2630979
2021-05-24,367.3200,369.7200,365.5100,368.2900,1818182
2021-05-21,361.4900,367.1400,360.5100,366.2600,2657548
2021-05-20,358.9800,361.9500,353.3500,359.7800,1919583
2021-05-19,360.0000,360.0000,353.9319,358.3800,3695975
2021-05-18,371.3800,373.0800,364.0000,364.5600,2018638
2021-05-17,367.7800,370.7000,364.5000,369.2500,1826125
2021-05-14,362.0000,369.5100,361.7000,368.7700,2732312
2021-05-13,353.2500,360.8850,353.2500,358.8100,2674804
2021-05-12,363.0700,368.1300,353.2712,354.4000,3309798
2021-05-11,363.0000,368.6300,358.6200,359.9200,3734339
2021-05-10,373.5000,376.9800,368.5000,368.6800,3396306
2021-05-07,362.3000,371.6500,360.9300,370.8900,3378112
2021-05-06,359.7700,366.3000,356.5001,365.9700,3048665
2021-05-05,352.0000,359.1400,352.0000,357.6200,2098500
2021-05-04,348.9000,351.7800,342.5700,349.8400,2831390
2021-05-03,350.3400,354.0599,349.2600,350.1600,1871653
2021-04-30,351.1200,352.8197,347.2000,348.4500,2101069
2021-04-29,350.5500,353.8300,347.4800,352.9700,2584423
2021-04-28,348.0000,350.1200,346.0900,348.1100,2140875
2021-04-27,344.0000,347.5500,343.6600,346.6300,2088604
2021-04-26,341.9400,345.9000,340.8900,343.5200,2171458
2021-04-23,331.2500,340.6700,330.7200,339.3500,2165370
2021-04-22,334.6200,336.9700,330.2900,330.8500,2165200
2021-04-21,330.0000,335.4700,327.5600,335.2700,2733251
2021-04-20,339.9700,340.4700,329.3500,331.8800,3662274
2021-04-19,340.0000,344.4300,336.6000,343.0900,3228160
2021-04-16,340.2900,343.7400,338.6200,342.3100,4231858
2021-04-15,338.9000,341.3500,334.5400,338.5500,4354775
2021-04-14,328.5500,344.4694,326.1500,335.3500,9876753
2021-04-13,329.5100,330.0500,324.1800,327.6800,3575907
2021-04-12,332.6700,334.4800,329.9400,331.8400,2318780
2021-04-09,334.0000,334.9000,328.7900,330.8100,2347149
2021-04-08,324.2900,331.4900,322.9652,331.1400,2402755
2021-04-07,327.7000,329.2000,323.3500,326.5500,2157335
2021-04-06,324.4900,328.5400,324.0000,327.0600,1801975
2021-04-05,332.8500,332.8500,323.0500,323.5400,3234998
2021-04-01,324.3000,329.6600,324.1600,327.6400,2658951
2021-03-31,330.2300,332.6500,325.4400,327.0000,2624540
2021-03-30,329.4100,335.7500,328.8500,332.0100,2717270
2021-03-29,320.3500,327.7600,317.7200,325.7300,4533245
2021-03-26,334.5100,335.4500,322.6900,327.3900,3082556
2021-03-25,327.3500,331.3900,321.9200,330.5500,2804721
2021-03-24,333.4200,336.9400,328.4400,328.6500,3332168
2021-03-23,337.6200,341.8885,331.3300,331.7700,2457544
2021-03-22,341.0600,342.8800,336.0000,339.3300,2094548
2021-03-19,346.4200,347.2400,340.6300,344.2000,3512961
2021-03-18,350.7500,356.8500,346.9900,348.0000,3715240
2021-03-17,344.6200,347.0300,340.4001,344.9500,2710906
2021-03-16,345.2800,346.9000,337.7500,341.7100,2332558
2021-03-15,349.4400,352.4200,342.0000,346.0500,2277831
2021-03-12,345.2200,350.0000,343.6400,348.8100,2436744
2021-03-11,338.6600,345.0000,336.4600,342.1000,2756559
2021-03-10,332.0700,342.4000,331.5300,342.0200,3153109
2021-03-09,328.6200,336.3900,325.5700,330.5900,3324825
2021-03-08,331.3600,337.5900,329.1000,334.1900,2997991
2021-03-05,335.5800,335.5800,316.4650,327.3700,3740398
2021-03-04,333.1300,339.7600,323.9200,329.2900,3647614
2021-03-03,333.6800,340.1000,333.2500,334.4300,3606299
2021-03-02,330.0000,336.1900,329.5100,330.9400,2850325
2021-03-01,325.0000,331.0400,323.3100,329.9200,2959050
2021-02-26,325.7700,328.6800,319.0400,319.4800,3426158
2021-02-25,333.3250,335.8131,326.2900,327.7600,4243779
2021-02-24,320.1700,330.9700,320.0950,330.6400,3934425
2021-02-23,317.9800,320.0000,310.5800,319.2100,2942528
2021-02-22,313.0000,320.5600,312.2100,316.8700,3067592
2021-02-19,310.2300,316.7800,310.2300,315.6200,2749542
2021-02-18,309.2200,314.5000,307.5841,309.9000,2095144
2021-02-17,310.0300,314.9800,308.7613,312.7400,2308032
2021-02-16,310.0000,312.9200,309.2233,311.9600,2792198
2021-02-12,301.9900,306.7000,301.7700,306.3200,1977298
2021-02-11,303.9800,305.0100,299.1718,302.3200,2159868
2021-02-10,300.0000,305.1800,297.7500,304.2800,3090946
2021-02-09,299.6000,302.4500,297.7000,300.4600,2061005
2021-02-08,295.0000,300.8900,294.5000,300.1500,2826173
2021-02-05,295.0000,297.2400,292.1901,293.5000,2938134
2021-02-04,290.0000,295.8300,289.5250,293.7500,2994699
2021-02-03,286.6100,289.8100,285.1801,288.5500,2712770
2021-02-02,278.3200,288.2500,278.0000,286.9700,5129178
2021-02-01,272.6600,276.8000,272.0000,274.7300,2324088
2021-01-29,274.2700,277.4000,270.6200,271.1700,3411974
2021-01-28,274.6100,279.8300,271.3300,275.0200,3778696
2021-01-27,276.0000,277.3700,271.3201,273.3300,3891838
2021-01-26,283.9300,285.7700,280.0800,281.7600,3296846
2021-01-25,285.5300,286.3500,277.5000,283.0400,4575007
2021-01-22,286.6900,290.5900,285.5000,289.3900,2568757
2021-01-21,290.4500,292.7400,288.5300,289.3700,2517753
2021-01-20,295.8200,297.4500,287.4800,290.4700,4792644
