timestamp,open,high,low,close,volume
2021-06-10,3282.0100,3351.0000,3281.1500,3349.6500,3476480
2021-06-09,3272.8700,3297.5800,3270.7000,3281.1500,2455530
2021-06-08,3222.6100,3279.5321,3218.0100,3264.1100,3416730
2021-06-07,3197.3300,3208.0000,3172.2000,3198.0100,2215756
2021-06-04,3212.0000,3221.0000,3198.8100,3206.2200,2249749
2021-06-03,3204.2300,3214.4350,3184.0300,3187.0100,2398293
2021-06-02,3223.1000,3235.0000,3208.0000,3233.9900,2014524
2021-06-01,3243.4950,3250.9800,3209.0600,3218.6500,2430045
2021-05-28,3242.0000,3247.9900,3219.7000,3223.0700,2331509
2021-05-27,3256.0000,3260.3550,3230.0400,3230.1100,2561157
2021-05-26,3274.5905,3295.7300,3258.5100,3265.1600,2383986
2021-05-25,3266.6700,3279.8200,3213.7600,3259.0500,3261109
2021-05-24,3215.5000,3257.9500,3210.4993,3244.9900,2422813
2021-05-21,3250.0000,3256.6946,3197.0100,3203.0800,4104882
2021-05-20,3244.4042,3259.6799,3236.1800,3247.6800,2633192
2021-05-19,3195.0000,3234.7500,3184.0000,3231.8000,2679708
2021-05-18,3292.5750,3312.0000,3230.3700,3232.2800,2828391
2021-05-17,3245.9300,3292.7500,3234.5900,3270.3900,3723925
2021-05-14,3185.5600,3228.8600,3183.0000,3222.9000,3325022
2021-05-13,3185.4700,3203.8400,3133.0000,3161.4700,3356877
2021-05-12,3185.0000,3207.9400,3133.1000,3151.9400,4936410
2021-05-11,3136.2800,3238.0000,3127.3700,3223.9100,4619781
2021-05-10,3282.3200,3283.0000,3190.0000,3190.4900,5838603
2021-05-07,3319.0900,3330.8900,3289.0704,3291.6100,4710276
2021-05-06,3270.0000,3314.4000,3247.2000,3306.3700,4447696
2021-05-05,3338.8550,3354.6950,3264.3600,3270.5400,3711308
2021-05-04,3356.1900,3367.9750,3272.1300,3311.8700,5439449
2021-05-03,3484.7300,3486.6450,3372.7012,3386.4900,5875530
2021-04-30,3525.1200,3554.0000,3462.5000,3467.4200,7009346
2021-04-29,3505.0981,3514.4450,3435.0000,3471.3100,7682381
2021-04-28,3434.8000,3489.8800,3425.0000,3458.5000,4631884
2021-04-27,3443.4700,3460.0000,3398.0100,3417.4300,3827140
2021-04-26,3348.0000,3428.4500,3330.9400,3409.0000,4880708
2021-04-23,3319.1000,3375.0000,3308.5000,3340.8800,3196652
2021-04-22,3371.6800,3372.8700,3301.4500,3309.0400,2580590
2021-04-21,3316.0000,3362.8600,3303.8061,3362.0200,2211166
2021-04-20,3373.6000,3382.9900,3316.0000,3334.6900,2623032
